,election,race,candidate,votes
4,2007 Municipal General - 2/27/07,Alderman 28th Ward,Shawn A. Walker,1809
5,2007 Municipal General - 2/27/07,Alderman 28th Ward,Alexzandual ''Alex'' M. Lyons,174
0,2007 Municipal General - 2/27/07,Alderman 29th Ward,Isaac ''Ike'' Sims Carothers,7836
0,2007 Municipal General - 2/27/07,Alderman 30th Ward,Wayne A. Strnad,617
1,2007 Municipal General - 2/27/07,Alderman 30th Ward,Ariel E. Reboyras,3514
2,2007 Municipal General - 2/27/07,Alderman 30th Ward,Jose Anthony Alvarez,883
0,2007 Municipal General - 2/27/07,Alderman 31st Ward,Regner ''Ray'' Suarez,4526
1,2007 Municipal General - 2/27/07,Alderman 31st Ward,Reinaldo ''Ray'' Hernandez,734
0,2007 Municipal General - 2/27/07,Alderman 32nd Ward,Scott Waguespack,3186
1,2007 Municipal General - 2/27/07,Alderman 32nd Ward,Ted Matlak,3799
2,2007 Municipal General - 2/27/07,Alderman 32nd Ward,Catherine A. Zaryczny,1122
0,2007 Municipal General - 2/27/07,Alderman 33rd Ward,Richard F. Mell,4590
0,2007 Municipal General - 2/27/07,Alderman 34th Ward,Carrie M. Austin,8529
1,2007 Municipal General - 2/27/07,Alderman 34th Ward,Henry Moses,1440
2,2007 Municipal General - 2/27/07,Alderman 34th Ward,Michael E. Mayden,857
3,2007 Municipal General - 2/27/07,Alderman 34th Ward,Bernard ''BK'' Kelly,1378
0,2007 Municipal General - 2/27/07,Alderman 35th Ward,Rey Colon,3046
1,2007 Municipal General - 2/27/07,Alderman 35th Ward,Vilma Colom,2224
2,2007 Municipal General - 2/27/07,Alderman 35th Ward,Miguel Sotomayor,1291
0,2007 Municipal General - 2/27/07,Alderman 36th Ward,Nicholas S. Sposato,2599
1,2007 Municipal General - 2/27/07,Alderman 36th Ward,William J.P. Banks,8315
0,2007 Municipal General - 2/27/07,Alderman 37th Ward,Emma M. Mitts,4485
1,2007 Municipal General - 2/27/07,Alderman 37th Ward,Daryl Jones,336
2,2007 Municipal General - 2/27/07,Alderman 37th Ward,Tommy O. Abina,512
3,2007 Municipal General - 2/27/07,Alderman 37th Ward,Percy Z. Giles,766
4,2007 Municipal General - 2/27/07,Alderman 37th Ward,Arlene P. Jones,282
5,2007 Municipal General - 2/27/07,Alderman 37th Ward,Eric P. McKennie,1190
0,2007 Municipal General - 2/27/07,Alderman 38th Ward,Thomas R. Allen,7335
0,2007 Municipal General - 2/27/07,Alderman 39th Ward,Margaret Laurino,6282
1,2007 Municipal General - 2/27/07,Alderman 39th Ward,Christopher J. Belz,1642
0,2007 Municipal General - 2/27/07,Alderman 40th Ward,Patrick J. O'Connor,5625
0,2007 Municipal General - 2/27/07,Alderman 41st Ward,Michael B. Hannon,1556
1,2007 Municipal General - 2/27/07,Alderman 41st Ward,Brian G. Doherty,10165
2,2007 Municipal General - 2/27/07,Alderman 41st Ward,Don Markham,2300
0,2007 Municipal General - 2/27/07,Alderman 42nd Ward,Brendan Reilly,6903
1,2007 Municipal General - 2/27/07,Alderman 42nd Ward,Burton F. Natarus,5808
0,2007 Municipal General - 2/27/07,Alderman 43rd Ward,Michele Smith,3089
1,2007 Municipal General - 2/27/07,Alderman 43rd Ward,Rachel Goodstein,271
2,2007 Municipal General - 2/27/07,Alderman 43rd Ward,Tim Egan,1086
3,2007 Municipal General - 2/27/07,Alderman 43rd Ward,Vi Daley,4474
4,2007 Municipal General - 2/27/07,Alderman 43rd Ward,Peter Zelchenko,387
0,2007 Municipal General - 2/27/07,Alderman 44th Ward,Tom Tunney,5824
0,2007 Municipal General - 2/27/07,Alderman 45th Ward,Patrick J. Levar,7389
1,2007 Municipal General - 2/27/07,Alderman 45th Ward,"Terrence W. Boyke, Jr.",4008
2,2007 Municipal General - 2/27/07,Alderman 45th Ward,Anna Klocek,1089
3,2007 Municipal General - 2/27/07,Alderman 45th Ward,Robert A. Bank,655
0,2007 Municipal General - 2/27/07,Alderman 46th Ward,James Cappleman,5287
1,2007 Municipal General - 2/27/07,Alderman 46th Ward,Helen Shiller,5987
0,2007 Municipal General - 2/27/07,Alderman 47th Ward,Gene Schulter,7255
1,2007 Municipal General - 2/27/07,Alderman 47th Ward,Martin P. Cooney,1984
0,2007 Municipal General - 2/27/07,Alderman 48th Ward,Mary Ann Smith,6747
0,2007 Municipal General - 2/27/07,Alderman 49th Ward,Joe Moore,3668
1,2007 Municipal General - 2/27/07,Alderman 49th Ward,Don Gordon,2171
2,2007 Municipal General - 2/27/07,Alderman 49th Ward,Jim Ginderske,943
3,2007 Municipal General - 2/27/07,Alderman 49th Ward,Chris Adams,659
0,2007 Municipal General - 2/27/07,Alderman 50th Ward,Bernard L. Stone,5069
1,2007 Municipal General - 2/27/07,Alderman 50th Ward,Naisy Dolar,2962
2,2007 Municipal General - 2/27/07,Alderman 50th Ward,Greg Brewer,1910
3,2007 Municipal General - 2/27/07,Alderman 50th Ward,Salman Aftab,548
0,2007 Municipal General - 2/27/07,Off-Street Parking Spaces W 02 All,Yes,7491
1,2007 Municipal General - 2/27/07,Off-Street Parking Spaces W 02 All,No,2289
0,2007 Municipal General - 2/27/07,Living Wage Ordinance W 12 All,Yes,3161
1,2007 Municipal General - 2/27/07,Living Wage Ordinance W 12 All,No,643
0,2007 Municipal General - 2/27/07,Stem Cell Research W 42 All,Yes,9756
1,2007 Municipal General - 2/27/07,Stem Cell Research W 42 All,No,1782
0,2007 Municipal General - 2/27/07,Living Wage Ordinance W 49 All,Yes,5090
1,2007 Municipal General - 2/27/07,Living Wage Ordinance W 49 All,No,1494
0,2015 Municipal Runoffs - 4/7/15,Mayor,RAHM EMANUEL,332171
1,2015 Municipal Runoffs - 4/7/15,Mayor,JESUS ''CHUY'' GARCIA,258562
0,2015 Municipal Runoffs - 4/7/15,Alderman 2nd Ward,BRIAN HOPKINS,7597
1,2015 Municipal Runoffs - 4/7/15,Alderman 2nd Ward,ALYX S. PATTISON,5819
0,2015 Municipal Runoffs - 4/7/15,Alderman 7th Ward,GREGORY I. MITCHELL,6798
1,2015 Municipal Runoffs - 4/7/15,Alderman 7th Ward,NATASHIA L. HOLMES,5237
0,2015 Municipal Runoffs - 4/7/15,Alderman 10th Ward,JOHN A. POPE,5805
1,2015 Municipal Runoffs - 4/7/15,Alderman 10th Ward,SUSAN SADLOWSKI GARZA,5825
0,2015 Municipal Runoffs - 4/7/15,Alderman 11th Ward,JOHN K. KOZLAR,5216
1,2015 Municipal Runoffs - 4/7/15,Alderman 11th Ward,PATRICK DALEY THOMPSON,7229
0,2015 Municipal Runoffs - 4/7/15,Alderman 15th Ward,RAYMOND A. LOPEZ,3596
1,2015 Municipal Runoffs - 4/7/15,Alderman 15th Ward,RAFAEL YANEZ,2606
0,2015 Municipal Runoffs - 4/7/15,Alderman 16th Ward,TONI L. FOULKES,3879
1,2015 Municipal Runoffs - 4/7/15,Alderman 16th Ward,STEPHANIE COLEMAN,3736
0,2015 Municipal Runoffs - 4/7/15,Alderman 18th Ward,LONA LANE,4688
1,2015 Municipal Runoffs - 4/7/15,Alderman 18th Ward,DERRICK G. CURTIS,9843
0,2015 Municipal Runoffs - 4/7/15,Alderman 20th Ward,WILLIE B. COCHRAN,4338
1,2015 Municipal Runoffs - 4/7/15,Alderman 20th Ward,KEVIN BAILEY,3489
0,2015 Municipal Runoffs - 4/7/15,Alderman 21st Ward,MARVIN MCNEIL,7261
1,2015 Municipal Runoffs - 4/7/15,Alderman 21st Ward,"HOWARD B. BROOKINS, JR.",7574
0,2015 Municipal Runoffs - 4/7/15,Alderman 24th Ward,VETRESS BOYCE,2579
1,2015 Municipal Runoffs - 4/7/15,Alderman 24th Ward,"MICHAEL SCOTT, JR.",5378
0,2015 Municipal Runoffs - 4/7/15,Alderman 29th Ward,DEBORAH L. GRAHAM,6262
1,2015 Municipal Runoffs - 4/7/15,Alderman 29th Ward,CHRIS TALIAFERRO,6702
0,2015 Municipal Runoffs - 4/7/15,Alderman 31st Ward,MILAGROS SANTIAGO,4218
1,2015 Municipal Runoffs - 4/7/15,Alderman 31st Ward,REGNER ''RAY'' SUAREZ,4139
0,2015 Municipal Runoffs - 4/7/15,Alderman 36th Ward,OMAR AQUINO,3656
1,2015 Municipal Runoffs - 4/7/15,Alderman 36th Ward,GILBERT VILLEGAS,4594
0,2015 Municipal Runoffs - 4/7/15,Alderman 37th Ward,EMMA M. MITTS,5340
1,2015 Municipal Runoffs - 4/7/15,Alderman 37th Ward,TARA STAMPS,4734
0,2015 Municipal Runoffs - 4/7/15,Alderman 41st Ward,MARY O'CONNOR,9087
1,2015 Municipal Runoffs - 4/7/15,Alderman 41st Ward,ANTHONY V. NAPOLITANO,9702
0,2015 Municipal Runoffs - 4/7/15,Alderman 43rd Ward,CAROLINE VICKREY,7153
1,2015 Municipal Runoffs - 4/7/15,Alderman 43rd Ward,MICHELE SMITH,7232
0,2015 Municipal Runoffs - 4/7/15,Alderman 45th Ward,JOHN GARRIDO,7263
1,2015 Municipal Runoffs - 4/7/15,Alderman 45th Ward,JOHN S. ARENA,8488
0,2015 Municipal Runoffs - 4/7/15,Alderman 46th Ward,JAMES CAPPLEMAN,7035
1,2015 Municipal Runoffs - 4/7/15,Alderman 46th Ward,AMY CRAWFORD,6065
